name,mass,year,reclat,reclong,GeoLocation
Buzzard Coulee,41000,2008,52.996,-109.84817,"(52.996000, -109.848170)"
Balsas,41000,1974,-7.53133,-46.04117,"(-7.531330, -46.041170)"
Butler,41000,1874,38.3,-94.36667,"(38.300000, -94.366670)"
Obernkirchen,41000,1863,52.26667,9.1,"(52.266670, 9.100000)"
Brownfield (1937),40960,1937,33.21667,-102.18333,"(33.216670, -102.183330)"
Glenormiston,40800,1925,-22.9,138.71667,"(-22.900000, 138.716670)"
Millen,40800,1975,32.83528,-81.87389,"(32.835280, -81.873890)"
Richfield,40800,1983,37.22222,-101.68139,"(37.222220, -101.681390)"
Orlovka,40500,1928,56,76.75,"(56.000000, 76.750000)"
Johnstown,40300,1924,40.35,-104.9,"(40.350000, -104.900000)"
Lohawat,40000,1994,26.96556,72.62667,"(26.965560, 72.626670)"
Olmedilla de Alarcón,40000,1929,39.56667,-2.1,"(39.566670, -2.100000)"
Pavlograd,40000,1826,48.53333,35.98333,"(48.533330, 35.983330)"
Sivas,40000,1989,39.82467,36.13583,"(39.824670, 36.135830)"
Uberaba,40000,1903,-19.81667,-48.78333,"(-19.816670, -48.783330)"
Calliham,40000,1958,28.41667,-98.25,"(28.416670, -98.250000)"
Dronino,40000,2000,54.74667,41.42167,"(54.746670, 41.421670)"
El Simbolar,40000,1938,-30.63333,-64.88333,"(-30.633330, -64.883330)"
Jerslev,40000,1976,55.608833,11.229167,"(55.608833, 11.229167)"
Northwest Africa 1397,40000,2000,,,
Nullarbor 001,40000,1935,-31,132,"(-31.000000, 132.000000)"
Wynella,40000,1945,-28.95,148.13333,"(-28.950000, 148.133330)"
Yilmia,40000,1969,-31.19167,121.53333,"(-31.191670, 121.533330)"
Pinnaroo,39400,1927,-35.38333,140.91667,"(-35.383330, 140.916670)"
Braunau,39000,1847,50.6,16.3,"(50.600000, 16.300000)"
Guareña,39000,1892,38.73333,-6.01667,"(38.733330, -6.016670)"
Bechar 001,39000,1998,30.83333,-3.33333,"(30.833330, -3.333330)"
Dhofar 1700,39000,2010,18.86622,54.67967,"(18.866220, 54.679670)"
Manitouwabing,39000,1962,45.44,-79.87556,"(45.440000, -79.875560)"
Shingle Springs,39000,1869,38.66667,-120.93333,"(38.666670, -120.933330)"
Weaver Mountains,38800,1898,34.25,-112.75,"(34.250000, -112.750000)"
Bunjil,38750,1971,-29.62917,116.48222,"(-29.629170, 116.482220)"
Lamont,38690,1940,38.07778,-96.02639,"(38.077780, -96.026390)"
Mayfield,38400,1972,37.30833,-97.545,"(37.308330, -97.545000)"
Bellsbank,38000,1955,-28.08333,24.08333,"(-28.083330, 24.083330)"
Capot Rey,38000,2004,20.12593,10.2056,"(20.125930, 10.205600)"
Avoca (Western Australia),37850,1966,-30.85,122.31667,"(-30.850000, 122.316670)"
Wonyulgunna,37800,1937,-24.91667,120.06667,"(-24.916670, 120.066670)"
Albin (pallasite),37600,1915,41.5,-104.1,"(41.500000, -104.100000)"
N'Goureyma,37500,1900,13.85,-4.38333,"(13.850000, -4.383330)"
Alatage,37500,1959,42.33333,93,"(42.333330, 93.000000)"
Patwar,37350,1935,23.15,91.18333,"(23.150000, 91.183330)"
Densmore (1879),37200,1879,39.65,-99.68333,"(39.650000, -99.683330)"
Waterville,37125,1917,47.767778,-119.876389,"(47.767778, -119.876389)"
L'Aigle,37000,1803,48.76667,0.63333,"(48.766670, 0.633330)"
Dhofar 1289,37000,2004,18.63333,54.42167,"(18.633330, 54.421670)"
Songyuan,36900,1993,45.25,125,"(45.250000, 125.000000)"
Melrose (a),36400,1933,34.38333,-103.61667,"(34.383330, -103.616670)"
Woolgorong,36000,1960,-27.75,115.83333,"(-27.750000, 115.833330)"
Eagle Station,36000,1880,38.61667,-84.96667,"(38.616670, -84.966670)"
Haskell,36000,1909,33.21333,-99.73167,"(33.213330, -99.731670)"
Kansas City (1903),36000,1903,39.1,-94.63333,"(39.100000, -94.633330)"
San Emigdio,36000,1887,36,-119,"(36.000000, -119.000000)"
Coffeyville,35900,2006,37.01667,-95.66667,"(37.016670, -95.666670)"
El Burro,35900,1939,29.33333,-101.83333,"(29.333330, -101.833330)"
Costilla Peak,35500,1881,36.83333,-105.23333,"(36.833330, -105.233330)"
Lueders,35400,1973,32.83611,-99.60417,"(32.836110, -99.604170)"
Northwest Africa 6203,35400,2008,30.51667,-4.3,"(30.516670, -4.300000)"
Ladder Creek,35100,1937,38.61667,-101.63333,"(38.616670, -101.633330)"
Modoc (1905),35000,1905,38.5,-101.1,"(38.500000, -101.100000)"
Rowena,34700,1962,-29.8,148.63333,"(-29.800000, 148.633330)"
Gursum,34650,1981,9.36667,42.41667,"(9.366670, 42.416670)"
Guin,34500,1969,33.96667,-87.91667,"(33.966670, -87.916670)"
Vermillion,34360,1991,39.73633,-96.36133,"(39.736330, -96.361330)"
Plains,34300,1964,33.28333,-102.76667,"(33.283330, -102.766670)"
Buck Mountains 003,34200,2005,34.7345,-114.21717,"(34.734500, -114.217170)"
Cangas de Onis,34000,1866,43.38333,-5.15,"(43.383330, -5.150000)"
Jelica,34000,1889,43.83333,20.44167,"(43.833330, 20.441670)"
Ställdalen,34000,1876,59.93333,14.95,"(59.933330, 14.950000)"
Broken Hill,34000,1994,-31.83333,141.76667,"(-31.833330, 141.766670)"
Gnowangerup,33600,1976,-34,118.1,"(-34.000000, 118.100000)"
View Hill,33600,1952,-43.32,172.06333,"(-43.320000, 172.063330)"
Valencia,33500,,39,-0.03333,"(39.000000, -0.033330)"
Bella Roca,33000,1888,24.9,-105.4,"(24.900000, -105.400000)"
Jiddat al Harasis 406,33000,2006,19.53268,56.87225,"(19.532680, 56.872250)"
Northwest Africa 1795,33000,2002,,,
Kyancutta,32700,1932,-33.28333,136,"(-33.283330, 136.000000)"
Putnam County,32700,1839,33.25,-83.25,"(33.250000, -83.250000)"
Jumapalo,32490,1984,-7.71667,111.2,"(-7.716670, 111.200000)"
Mossgiel,32383,1967,-33.31667,144.78333,"(-33.316670, 144.783330)"
Narraburra,32200,1855,-34.25,147.7,"(-34.250000, 147.700000)"
